Category,Item,File Path,Type,Wired To,Status,Test Result,Notes
FRONTEND ROUTES,/ (Dashboard),frontend/src/App.tsx,Route,Dashboard.tsx,PASS,Renders all 8 panels,Protected by auth gate
FRONTEND ROUTES,/login,frontend/src/App.tsx,Route,Login.tsx,PASS,Shows login form,Public route
FRONTEND ROUTES,/vms,frontend/src/App.tsx,Route,VirtualMachines.tsx,PASS,Shows VM grid + create form,Protected
FRONTEND ROUTES,/databases,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 4 stub,Protected
FRONTEND ROUTES,/networks,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 2 stub,Protected
FRONTEND ROUTES,/security,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 2 stub,Protected
FRONTEND ROUTES,/ai-agents,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 5-6 stub,Protected
FRONTEND ROUTES,/monitoring,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 7 stub,Protected
FRONTEND ROUTES,/compliance,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 7 stub,Protected
FRONTEND ROUTES,/settings,frontend/src/App.tsx,Route,Placeholder.tsx,PASS,Renders Phase 3 stub,Protected
FRONTEND ROUTES,* (catch-all),frontend/src/App.tsx,Route,Navigate to /login,PASS,Redirects unauthenticated,Redirect
SIDEBAR NAVLINKS,Dashboard (/),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Virtual Machines (/vms),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /vms,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Databases (/databases),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /databases,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Networks (/networks),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /networks,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Security (/security),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /security,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,AI Agents (/ai-agents),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /ai-agents,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Monitoring (/monitoring),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /monitoring,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Compliance (/compliance),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /compliance,PASS,Navigates correctly,Active state styled
SIDEBAR NAVLINKS,Settings (/settings),frontend/src/components/layout/Sidebar.tsx,NavLink,Route /settings,PASS,Navigates correctly,Active state styled
BUTTONS,Login submit,frontend/src/pages/Login.tsx,onClick,useAuth.login(),PASS,Calls login with email+password,Form submit handler
BUTTONS,Logout,frontend/src/components/layout/Header.tsx,onClick,useAuth.logout(),PASS,Clears token + redirects to /login,Header button
BUTTONS,Alert bell,frontend/src/components/layout/Header.tsx,onClick,navigate('/security'),PASS,Navigates to security page,FIXED - was missing handler
BUTTONS,Create VM toggle,frontend/src/pages/VirtualMachines.tsx,onClick,setShowCreate(),PASS,Toggles create form visibility,FIXED - was missing handler
BUTTONS,Create VM submit,frontend/src/pages/VirtualMachines.tsx,onClick,handleCreate() -> createVM(),PASS,Calls API then refetches,FIXED - was missing
BUTTONS,AI Terminal send,frontend/src/components/dashboard/AICommandTerminal.tsx,onClick,handleSubmit() -> llmComplete(),PASS,Sends prompt to Bedrock proxy,Enter key also works
BUTTONS,AI Terminal input,frontend/src/components/dashboard/AICommandTerminal.tsx,onKeyDown,handleSubmit on Enter,PASS,Enter submits command,Keyboard shortcut
FRONTEND COMPONENTS,App,frontend/src/App.tsx,Component,main.tsx,PASS,Entry point renders,Root component
FRONTEND COMPONENTS,Layout,frontend/src/components/layout/Layout.tsx,Component,App.tsx,PASS,Wraps protected routes,Outlet pattern
FRONTEND COMPONENTS,Sidebar,frontend/src/components/layout/Sidebar.tsx,Component,Layout.tsx,PASS,9 nav items render,Fixed left position
FRONTEND COMPONENTS,Header,frontend/src/components/layout/Header.tsx,Component,Layout.tsx,PASS,Shows user + logout + alerts,Sticky top
